2026-02-27 04:50:12.423 | INFO     | serpentine.core.engine:_create_mode_strategy:48 | {'system': 'core'} | Using mode strategy: ArchitectMode
2026-02-27 04:50:12.424 | INFO     | serpentine.core.engine:_initialize_systems:99 | {'system': 'core'} | Initializing engine in EngineMode.ARCHITECT mode using ArchitectMode...
2026-02-27 04:50:12.429 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase INPUT: ['SensoryInputSystem']
2026-02-27 04:50:12.429 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase MAIL_ROUTING: []
2026-02-27 04:50:12.429 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase PERCEPTION: ['PerceptionPipelineSystem']
2026-02-27 04:50:12.431 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase INTERNAL_PHYSICS: []
2026-02-27 04:50:12.431 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase COGNITION: []
2026-02-27 04:50:12.431 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase EXECUTION: ['ActionExecutionSystem']
2026-02-27 04:50:12.431 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase REWARD: []
2026-02-27 04:50:12.431 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase TELEMETRY: ['GUIDebugSystem']
2026-02-27 04:50:12.504 | INFO     | serpentine.core.engine:run:124 | {'system': 'core'} | Engine started.
2026-02-27 04:50:12.867 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: module 'dearpygui.dearpygui' has no attribute 'mvNode_Attribute_Output'
2026-02-27 04:50:12.869 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: module 'dearpygui.dearpygui' has no attribute 'mvNode_Attribute_Input'
2026-02-27 04:50:12.890 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: module 'dearpygui.dearpygui' has no attribute 'mvNode_Attribute_Input'
2026-02-27 04:50:12.920 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: module 'dearpygui.dearpygui' has no attribute 'mvNode_Attribute_Input'
2026-02-27 04:55:03.530 | INFO     | serpentine.core.engine:_create_mode_strategy:48 | {'system': 'core'} | Using mode strategy: ArchitectMode
2026-02-27 04:55:03.531 | INFO     | serpentine.core.engine:_initialize_systems:99 | {'system': 'core'} | Initializing engine in EngineMode.ARCHITECT mode using ArchitectMode...
2026-02-27 04:55:03.534 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase INPUT: ['SensoryInputSystem']
2026-02-27 04:55:03.535 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase MAIL_ROUTING: []
2026-02-27 04:55:03.535 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase PERCEPTION: ['PerceptionPipelineSystem']
2026-02-27 04:55:03.535 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase INTERNAL_PHYSICS: []
2026-02-27 04:55:03.535 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase COGNITION: []
2026-02-27 04:55:03.535 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase EXECUTION: ['ActionExecutionSystem']
2026-02-27 04:55:03.535 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase REWARD: []
2026-02-27 04:55:03.536 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase TELEMETRY: ['GUIDebugSystem']
2026-02-27 04:55:03.541 | INFO     | serpentine.core.engine:run:124 | {'system': 'core'} | Engine started.
2026-02-27 04:55:03.774 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: module 'dearpygui.dearpygui' has no attribute 'mvNode_Attribute_Output'
2026-02-27 04:55:03.775 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: module 'dearpygui.dearpygui' has no attribute 'mvNode_Attribute_Input'
2026-02-27 04:55:03.802 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: module 'dearpygui.dearpygui' has no attribute 'mvNode_Attribute_Input'
2026-02-27 04:55:03.832 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: module 'dearpygui.dearpygui' has no attribute 'mvNode_Attribute_Input'
2026-02-27 04:56:14.126 | INFO     | serpentine.core.engine:_create_mode_strategy:48 | {'system': 'core'} | Using mode strategy: ArchitectMode
2026-02-27 04:56:14.127 | INFO     | serpentine.core.engine:_initialize_systems:99 | {'system': 'core'} | Initializing engine in EngineMode.ARCHITECT mode using ArchitectMode...
2026-02-27 04:56:14.128 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase INPUT: ['SensoryInputSystem']
2026-02-27 04:56:14.129 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase MAIL_ROUTING: []
2026-02-27 04:56:14.129 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase PERCEPTION: ['PerceptionPipelineSystem']
2026-02-27 04:56:14.129 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase INTERNAL_PHYSICS: []
2026-02-27 04:56:14.129 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase COGNITION: []
2026-02-27 04:56:14.129 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase EXECUTION: ['ActionExecutionSystem']
2026-02-27 04:56:14.129 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase REWARD: []
2026-02-27 04:56:14.129 | DEBUG    | serpentine.core.engine:_initialize_systems:119 | {'system': 'core'} | Phase TELEMETRY: ['GUIDebugSystem']
2026-02-27 04:56:14.134 | INFO     | serpentine.core.engine:run:124 | {'system': 'core'} | Engine started.
2026-02-27 04:56:14.366 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
2026-02-27 04:56:14.367 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
2026-02-27 04:56:14.399 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
2026-02-27 04:56:14.431 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
2026-02-27 04:56:14.460 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
2026-02-27 04:56:14.491 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
2026-02-27 04:56:14.522 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
2026-02-27 04:56:14.553 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
2026-02-27 04:56:14.582 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
2026-02-27 04:56:14.614 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
2026-02-27 04:56:14.645 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
2026-02-27 04:56:14.676 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
2026-02-27 04:56:14.708 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
2026-02-27 04:56:14.738 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
2026-02-27 04:56:14.768 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
2026-02-27 04:56:14.800 | ERROR    | serpentine.core.engine:_tick:193 | {'system': 'core'} | Error in system GUIDebugSystem: add_node_link() missing 2 required positional arguments: 'attr_1' and 'attr_2'
